Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
-1oybu1M5dU,Sunday Morning Worship Service - 3/17/24 - Rev. Bruce Puckett,18-Mar-24,4968,3,13,10,1061,360.0739,2,11013,4.7
 -iLxU5Ytkus,Easter Sunday Worship - 3/31/13 - 9AM - Luke Powery,31-Mar-13,5957,3,12,7,7103,711.7721,0,9542,5.36
 -uYZQACeHBY,Sunday Morning Worship Service - 4/21/19 - Dean Luke A. Powery,21-Apr-19,4977,3,47,25,5067,936.1519,5,43641,5.01
 -yPO3gkMAWM,A conversation with GLORIA STEINEM - 4/15/14,16-Apr-14,7647,3,20,6,2336,830.1972,6,2855,2.24
 -zCfar3GJ5Y,Holy Week Noon Service - 4/12/22,12-Apr-22,3006,3,5,6,262,27.536,0,6997,2.2
0TsmBsA2TI0,Sunday Morning Worship Service - 2/21/21 - Rev. Bruce Puckett,21-Feb-21,3600,3,25,7,1393,419.7614,3,13733,4.35
0cymZeROqKk,Sunday Service - 6/5/11 - Samuel Wells,6-Jun-11,4599,3,4,9,1810,133.9207,0,3178,2.45
0twJf9cxOaE,Catholic Mass - 12/2/12 - 1st Sunday of Advent,3-Dec-12,4071,3,12,15,6606,521.5482,8,17184,5.87
0zOcjWS1_f4,Sunday Morning Worship Service - 1/12/20 - Rev. Bruce Puckett,12-Jan-20,5136,3,14,8,1120,291.9045,-2,11310,4.17
18DHPIX_C3c,Choral Evensong Worship Service - 12/1/19,1-Dec-19,3126,3,6,14,807,153.3196,1,10841,3.19
1nh01MQbtQE,Choral Evensong Worship Service - 10/29/17,29-Oct-17,2882,3,4,4,628,130.6018,0,3179,2.39
1rF8dRmxTKY,Organ Recital: J. S. Bach and His Legacy,24-Mar-21,4947,3,56,32,3679,416.2685,16,27994,4.7
1sm-9Z0GiCQ,2016 Baccalaureate Service: Surnames R-Z,14-May-16,6385,3,4,3,774,80.8004,1,1599,3.06
2Iczk2HIMts,2022 Duke Divinity School Opening Convocation,6-Sep-22,4756,3,13,20,1012,111.3904,7,19561,2.88
2pP-ZsO41g8,Duke Chorale Christmas Concert 2022,30-Nov-22,6976,3,53,36,2022,370.9781,15,19423,4.84
2pvANqdMk70,Works by Johann Sebastian Bach (1685-1750),10-Feb-16,3086,3,22,12,1524,126.4921,1,7153,3.98
37WK3g2bY-E,"In Loving Memory:  Dr. LeRoy Walker, Sr.",1-May-12,8312,3,1,6,626,28.2273,0,2272,1.63
3QClGHr2ihc,Catholic Mass - 1/29/12 - 4th Sunday in Ordinary Time,30-Jan-12,4460,3,5,6,5682,289.8111,5,5083,7.22
3eEs5A64r-s,Duke Chapel Ministry Team,5-Sep-23,87,3,2,2,300,4.6895,1,10127,1.58
3n-B3KvPgRc,Holy Week Midday Service - 3/30/21 - Angela Cho,30-Mar-21,2841,3,7,12,502,66.841,0,8037,2.38
3vVoFEx6CII,Sunday Morning Worship Service - 1/30/22 - Rev. Dr. Luke A. Powery,30-Jan-22,4395,3,21,21,1553,445.7255,2,15065,5.16
42BgTpDlNSk,Choral Evensong Worship Service - 9/4/16,4-Sep-16,2980,3,6,4,903,119.5744,2,1739,4.2
467C8KQFQcw,School of Nursing Graduation Ceremoney - 12/9/17,9-Dec-17,6727,3,52,17,903,136.7988,2,3495,1.49
4NWL1ep2p1o,Funeral Service for Noah Spivey - 4/5/14 at 10:30AM,5-Apr-14,8866,3,4,9,3800,486.1927,6,7492,6.82
4XEHMsZ5cBA,Sunday Morning Worship Service - 9/29/19 - Dean Luke A. Powery,,751,3,0,0,6,0.0553,0,1209,0.08
4aNDCw3sZ7w,A Conversation with Bishop Eugene Robinson,24-Oct-08,3675,3,1,3,1379,64.8852,0,4229,1.82
4xcZK4W1ETM,Worship Service - 5/3/15 - Luke Powery,3-May-15,5953,3,7,6,2207,417.4365,0,3027,6.28
55eCnhodd6I,Choral Evensong Worship Service - 1/28/18,28-Jan-18,2722,3,3,6,888,133.2649,2,10419,3.24
5fWjrbQRNr4,Christmas Eve Worship Service 11 PM - 12/24/16,25-Dec-16,6674,3,33,16,3923,629.6424,6,8372,3.52
60iqk3GseTk,Sunday Service - 4/17/11 - Sam Wells,18-Apr-11,4820,3,6,7,3875,226.8491,4,6061,5.66
6HO7bUnxdEg,Sunday Morning Worship Service - 3/14/21 - Rev. Dr. David Emmanuel Goatley,14-Mar-21,4975,3,23,20,3161,483.3439,11,37870,4.26
6Z2xzKFQvCk,Christmas Eve Lessons and Carols - 12/24/24,25-Dec-24,6486,3,67,38,2521,703.2594,8,28467,5.54
6dmd4xGKEcQ,Divinity School Opening Convocation,30-Aug-16,3813,3,12,5,744,113.9802,0,1232,1.38
6ifp9nd2gVI,Catholic Mass - 2/10/13 - 5th Sunday in Ordinary Time,11-Feb-13,4470,3,8,18,4024,282.0776,1,7900,8.99
77jSyEQX4fw,"Ph.D. Hooding Ceremony: Biological and Biomedical Sciences, Physical Sciences, and Engineering",25-Sep-21,5116,3,39,15,1086,131.8898,1,18212,2.37
7U49nPV1csc,Sunday Morning Worship Service - 6/27/21 - Dean Luke A. Powery,27-Jun-21,4546,3,7,15,1000,328.1879,2,14640,4.13
8Lm5hhEzrAI,Sunday Morning Worship Service - 12/27/20 - Rev.Bruce Puckett,27-Dec-20,3320,3,9,17,1134,260.5103,1,10053,3.98
8mRAY-s_MCg,"Schaffe in mir, Gott (Johannes Brahms)",23-Feb-21,124,3,51,30,1713,52.403,-1,10539,4.24
9eV8g1l4Mew,Sunday Service - 7/12/09 - Warren Smith,17-Jul-09,5255,3,3,7,1477,75.1752,3,1918,3.28
AJJfWG0wsEY,Service of Tenebrae - 4/14/17 - Luke Powery,15-Apr-17,4823,3,5,7,1124,165.7795,1,3634,6.91
AQl1QuqHkCM,Preaching and the Public Square,28-Feb-19,4505,3,34,11,1299,315.3181,3,26414,1.15
AkbVus2D8IM,Sunday Morning Worship Service - 4/28/24,28-Apr-24,4725,3,5,9,582,122.4255,0,7071,4.86
AzTkpvWkGJg,Choral Evensong Worship Service - 10/13/19,15-Oct-19,3425,3,2,16,967,133.3706,4,11972,3.6
BL_OGyQz1no,Sunday Sermon - Exposed to the Light - Jeremy Begbie,27-Mar-09,1132,3,9,11,2105,117.9548,4,3589,3.2
BhG6GdSQZQs,Sunday Morning Worship Service - 26/02/23 - Rev. Dr. Luke A. Powery,26-Feb-23,5107,3,18,16,1247,404.2532,4,13358,4.96
BkgVWWePUSM,Messiah at Duke Chapel: A Reflection,4-Dec-20,805,3,65,23,2502,129.9251,10,13918,4.8
CIElBPF2Zoo,All Saints' Day Requiem Eucharist - 11/1/22,2-Nov-22,5646,3,21,18,919,125.1197,4,13594,4.15
Cl_JLzre9e0,Sunday Morning Worship Service - 8/14/22 - Rev. Bruce Puckett,14-Aug-22,4442,3,23,14,1050,299.3786,0,14248,4.26
CmgtaYZFvvo,Holy Week Noon Service - 4/5/23 - Will Cole,5-Apr-23,3211,3,10,10,407,53.2198,5,6840,2.3
CtHOgLtqtEM,Duke Chapel Live - 12/11/2011,11-Dec-11,5911,3,2,3,1069,49.8947,1,5,0
DJH8HFGHwZY,Choral Evensong Worship Service - 11/24/24,25-Nov-24,3651,3,11,5,382,68.7681,0,6601,3.71
D_8nVfef8AI,Sunday Morning Worship Service - 02/05/23 - Rev. Dr. Barbara Brown Taylor,5-Feb-23,5369,3,121,47,4377,1113.7579,28,37004,5.74
EUmr5qdqXGg,"The Baccalaureate Service (B), Duke University May 11, 2013",11-May-13,4537,3,3,8,1264,106.8583,3,3192,2.44
EXgADdVI6nY,Sunday Morning Worship Service - 1/31/21 - Rev. Kathryn Lester-Bacon,31-Jan-21,4400,3,8,20,3837,670.4886,11,103598,1.52
FLMp6OxuquE,Faith and Learning Profile: Finding the Beauty of God in Music and Community,8-Dec-23,197,3,56,34,1325,42.1592,3,13839,2.54
FfZhhFMzqZI,Worship Service - 3/22/15 - Luke Powery,22-Mar-15,4855,3,0,2,1010,189.2679,-1,1994,2.71
FhnIzjoF6cc,Christmas Eve Worship Service - 12/24/18,24-Dec-18,4666,3,10,8,1371,152.6363,4,14231,4.46
G03puDbRi4E,Duke Physician Assistant Program Hooding and Certificate Ceremony 2023,5-Aug-23,6076,3,60,21,1595,341.7917,9,14194,3.61
G62rOrlC7jk,Choral Vespers Worship Service - 10/26/17,26-Oct-17,2284,3,4,4,294,38.4506,0,1965,1.53
GRT-MJdlcVQ,Catholic Mass - 2/24/13 - 2nd Sunday of Lent,25-Feb-13,4720,3,5,16,4409,357.1545,5,12035,6.11
H62xwDWQ96E,Choral Evensong Worship Service - 1/21/18,21-Jan-18,3317,3,20,13,1371,249.4716,0,13245,4.03
HYfrEmEBkzM,2017 Hippocratic Oath Ceremony,13-May-17,8059,3,42,10,1950,148.7737,2,26766,2.6
IcDJxDlC7P4,Choral Evensong Worship Service - 4/15/18,15-Apr-18,3104,3,2,7,764,128.2679,-1,9764,3.28
J-jfPLWZ5KA,Sunday Morning Worship Service - 3/31/19 - Rev. Dr. Richard Lischer,31-Mar-19,5103,3,12,8,1671,409.2793,2,15385,4.13
J0F_ddRUdXM,Good Friday Noon Service - 4/15/22,15-Apr-22,3316,3,6,11,648,92.2952,2,9926,3.8
JVn4LNSW7Jg,Choral Vespers - 11/10/11,10-Nov-11,2963,3,0,0,492,3.0289,0,514,0.58
JwxTYnkSv04,Advent Lessons and Carols - 12/8/22,9-Dec-22,3825,3,25,21,1071,204.7156,3,13923,3.81
KUM3_FbAzHk,Choral Evensong Worship Service - 1/29/17,29-Jan-17,3099,3,5,10,735,136.1493,0,2505,2.67
LEGKGjDIieE,Bach Vespers: A Lutheran Vespers Service at the Time of Bach,18-Dec-15,193,3,37,26,2059,35.5801,5,9694,5.98
LF2HrEM8LwQ,Holy Week Noon Service - 4/11/22,11-Apr-22,2661,3,10,7,504,43.5111,1,12470,2.17
LWgnO2Hl1nw,Sunday Service - 2/9/14 - Barbara Brown Taylor,12-Feb-14,5446,3,56,44,11033,1838.5371,13,36658,4.53
M07kX14jNw8,Sounds of Faith: O nata lux,29-Apr-20,410,3,7,22,668,27.9451,0,12055,2.26
M2_mFy7LLoo,2016 Duke Divinity School Baccalaureate Service,15-May-16,9460,3,55,19,3229,571.4346,2,5011,7.48
MGKdXHURlXo,University Worship Service - 12/31/17 - Rev. Shaquisha (Kiki) Barnes,31-Dec-17,5315,3,16,12,1443,221.8889,2,10580,2.7
MbH9nK2iUVg,Veterans Day Ceremony,11-Nov-19,1858,3,5,12,523,25.1876,1,8736,2.69
N1k88l_2Pas,Sunday Morning Worship Service - 1/8/23,8-Jan-23,4598,3,6,15,1060,318.9546,-1,14238,4.15
NNpYlvjgJyM,Sunday Morning Worship Service - 8/7/22 - Rev. Ashley Crowder Stanley,7-Aug-22,5021,3,6,14,1105,311.3807,2,14229,4.16
P6YmGk2bDCE,Sacred on Saturday: Lamentations,2-Nov-20,3332,3,6,1,177,12.7936,0,6302,1.14
PLliPgonXhE,Organ Recital Series: Monica Czausz Berney,6-Nov-22,4626,3,12,11,350,57.3522,7,8945,2.17
PwocHK-Rqyg,Sunday Morning Worship Service - 12/4/22 - Bishop William Willimon,4-Dec-22,4713,3,62,34,2387,609.3718,9,22238,5.87
Px_FtmNy-Ys,Worship Service - 1/25/15 - Allan Aubrey Boesak,25-Jan-15,5254,3,28,12,2826,564.8463,10,16800,5.02
Q-iGLZBfKws,Sunday Morning Worship Service - 7/24/22 - Rev. Kathryn Lester-Bacon,24-Jul-22,4705,3,20,10,956,295.8334,1,16229,3.33
QEMGm3gnIl8,Catholic Mass - 9/16/12 - 24th Sunday in Ordinary Time,17-Sep-12,3851,3,14,6,5061,436.9577,5,6394,6.65
RLK3XCNlWko,Sunday Morning Worship Service - 7/25/21 - Rev. Dr. Brent Strawn,25-Jul-21,4778,3,11,14,1455,374.0322,6,18664,4.36
RlT4ELtaRWk,Sunday Sermon - Loving Yourself - Sam Wells,8-Nov-08,1293,3,232,76,9428,1214.5867,30,62365,5.08
Rm69PGk5Gvk,Encouragement from a Distance - Two Minutes Together,28-Apr-20,135,3,3,6,205,3.7379,0,7587,0.99
RqhH87Ljixk,2017 Baccalaureate Service: Surnames I-Q,13-May-17,5154,3,3,2,693,92.1861,0,3116,3.37
SydyMAcstPA,Sounds of Faith: Called to Ventures & Fugue in E-flat Major,4-Jun-20,429,3,7,16,660,27.5947,1,10446,1.95
TPL4N9f2UEE,Sunday Morning Worship Service - 03/19/23 - Rev. Dr. Luke A. Powery,19-Mar-23,5525,3,42,23,1672,463.0281,8,17315,5.15
TUQvL5MGl18,Catholic Mass - 4/1/12 - Palm Sunday of the Passion of the Lord,2-Apr-12,6598,3,16,20,11104,521.0448,12,21286,4.39
TkMEvsE30fk,Faith and Learning Profile: Ethics and Activism,10-Apr-18,199,3,19,5,1354,21.4811,3,16385,1.07
TtPJugTofjk,Catholic Mass - 2/26/12 - 1st Sunday of Lent,27-Feb-12,4443,3,5,6,5438,274.308,9,13730,5.19
U43-yUk3eyg,Sunday Morning Worship Service - 7/31/22 - Rev. Dr. Mary S. Hulst,31-Jul-22,4361,3,7,9,1108,247.6118,2,13407,4.28
UpKixKjGBRM,Our Beloved Child Miriam H. Cho's Heaven Farewell Service,30-Aug-21,5681,3,30,19,3027,530.6304,7,38108,2.45
UzccINmbFfU,Sunday Morning Worship Service - 8/8/21 - Dean Luke A. Powery,8-Aug-21,4774,3,14,17,1181,354.8499,4,14510,4.09
V1B8B9S1L0A,Compline at Duke Chapel,28-Feb-24,29,3,15,62,1221,22.8047,8,27400,1.97
V26gIwy6XBs,Sunday Morning Worship Service - 12/26/21 - Rev. Kathryn Lester-Bacon,26-Dec-21,4608,3,14,15,1297,332.29,3,24155,2.99
V3wNxcl2qD0,Sunday Morning Worship Service - 2/14/21 - Rev. Dr. Jerusha Neal,14-Feb-21,4386,3,15,20,1717,463.7681,8,17468,4.01
Vfka7Yp4a5w,2015 Duke Divinity School Baccalaureate Service,10-May-15,9279,3,8,7,2475,450.1111,2,3056,5.82
WF9J6e-o_UE,University Worship Service - 4/30/17 - Luke Powery,30-Apr-17,5571,3,24,12,1463,292.0736,1,3365,4.61
Wf4jxqDlVYM,Sunday Morning Worship Service - 6/23/19 - Rev. Pam Driesell,23-Jun-19,4425,3,7,7,1018,216.4474,2,14573,2.64
XAK8vT3wXKE,Catholic Mass - 2/12/12 - 6th Sunday in Ordinary Time,13-Feb-12,4641,3,2,5,3499,147.7964,1,5296,9.61
Y3AnZpcJTCE,Catholic Mass - 4/29/12 - 4th Sunday of Easter,30-Apr-12,4942,3,7,8,3483,169.6039,0,7598,7.3
YrJvE7AVW_c,Christmas Eve Lessons and Carols - 12/24/19,25-Dec-19,6368,3,74,56,6118,1464.2427,14,52954,5.35
ZGe4LWkJqTI,The Marvel of This Night: Christmas at Duke University Chapel (2019),24-Dec-20,3567,3,116,34,2754,526.8376,13,14169,4.04
ZPqzClU-SLQ,to sing - come audition for Duke Chapel Choir,1-Jul-08,821,3,12,15,6628,122.9617,4,8597,4.19
_lQHb1tyRiQ,Sunday Morning Worship Service - 9/12/21 - Dean Luke A. Powery,12-Sep-21,5316,3,12,19,1449,458.0302,3,18462,4.19
a8JzOTGu8rk,Catholic Mass - 5/27/12 - Pentecost Sunday,28-May-12,4650,3,6,7,5816,240.195,9,11937,5.18
b3givzJS03A,Choral Vespers Worship Service - 2/6/20,7-Feb-20,2106,3,12,6,479,64.575,3,8939,2
bUvRDSaJb44,Easter Dawn (Zebulon M. Highben),4-Apr-21,261,3,109,37,3815,160.0746,6,20390,6.36
bhKhl6nXFa8,Choral Evensong Worship Service - 2/26/17,26-Feb-17,3827,3,3,6,848,162.8936,0,2689,2.71
c-jY0KXrjcU,Sunday Service - 11/15/09 - Richard Hays,22-Nov-09,5567,3,15,11,3518,252.2043,3,5309,3.8
cGDiH5BLk_I,Worship Service - 11/16/14 - Luke Powery,16-Nov-14,5348,3,1,2,1273,189.416,2,1372,4.45
chWdJ0e8ahA,Sunday Morning Worship Service - 4/3/22 - Rev. Bruce Puckett,3-Apr-22,4607,3,10,12,1016,328.2205,2,13684,4.22
d0zTR1efEtU,Choral Evensong Worship Service - 2/2/20,2-Feb-20,3489,3,27,24,1399,237.1839,4,17932,3.61
dPg8a5YCI24,A Message of Gratitude and Hope from Dean Powery,18-Mar-20,318,3,51,28,2474,106.8561,3,9014,2.55
dxA0uOHbMOE,Choral Vespers Worship Service - 5/4/17,5-May-17,3538,3,2,2,441,91.651,0,2422,2.19
eX4ntyLKSEg,Catholic Mass - 12/23/12 - 4th Sunday of Advent,24-Dec-12,3462,3,3,3,2439,128.3021,1,5218,8.3
enRXkATMmj0,Catholic Mass - 4/15/12 - 2nd Sunday of Easter,16-Apr-12,4612,3,3,14,3390,140.8504,2,5389,6.01
fBpqRFMUsyQ,Dr Robert Parkins performs selections from Locklair's Rubrics,5-Mar-09,724,3,4,9,4041,80.4742,1,4166,2.9
fCt9O58xKN4,Sunday Morning Worship Service - 5/29/22 - Rev. Bruce Puckett,29-May-22,4781,3,5,10,1107,303.0103,2,15120,3.96
fbkB6Yovqdo,Choral Evensong Worship Service - 5/26/22,26-May-22,3207,3,27,21,1316,224.1124,9,17706,3.74
guvIFrck_08,J. Samuel Hammond Carillon Recital Series: Chase Benefiel,2-Oct-22,3669,3,25,15,470,38.3523,2,14709,1.39
gwrdNPKdmBw,Duke Divinity School Course of Study Closing Convocation 2011,10-Aug-11,4781,3,2,3,1266,51.8429,0,2185,3.84
hTxh-Nx5exY,The Golden Age of Spanish Organ Music,10-Feb-16,2952,3,55,92,10770,518.379,15,46153,7.58
hgUhg8X0Mt0,Sunday Morning Worship Service - 10/2/22 - Dean Luke A. Powery,2-Oct-22,4350,3,16,17,1109,333.402,5,9992,6.13
hwrHfxtlH3w,Sunday Service - 5/27/12 - Anna Carter Florence,30-May-12,5342,3,15,13,4447,534.7409,4,9628,4.18
i5h5rgNALBE,The Wedding of Rachel Price and Kudakwashe Kagura,,4251,3,13,11,395,75.6864,1,8,0
jZGUxcYbxSU,Sunday Service - 9/20/09 - Sam Wells,21-Sep-09,4824,3,0,7,1595,84.0346,0,2075,3.57
k2lWuSMLNg8,Vespers Worship Service - 10/9/10,9-Oct-14,2575,3,0,1,456,45.3618,0,1207,2.4
k59KzOA_u58,2024 Divinity Baccalaureate Service and Hooding Ceremony,12-May-24,6979,3,153,29,2359,592.3236,24,14372,5.5
kfcFNSquPdM,The Wedding Ceremony Uniting Devin Marie Jones and Kyle Richard Ulrich - 4/25/15 at 12:00 PM,25-Apr-15,3408,3,5,4,969,85.9007,1,3477,3.22
knwYvyPKFYI,Christmas Eve Worship Service - 2:00 PM,24-Dec-21,2410,3,14,20,917,120.1661,4,12328,3.72
kxRV0a-c2-w,A Celebration of the Life of Allen Verhey,4-Mar-14,4208,3,7,4,1294,208.9717,4,2202,3.81
lK7VchzaUwE,Interview with Jeanette Stokes on Women in Ministry,27-Mar-21,772,3,16,6,295,16.4436,1,6768,0.92
lyUzrJWhqQk,Sunday Morning Worship Service - 10/23/22 - Rev. Dr. Karoline M. Lewis,23-Oct-22,5481,3,8,15,1306,364.6242,4,15529,4.61
m2-N12Zc_mc,Sunday Morning Worship Service - 12/25/22 - Rev. Kathryn Lester-Bacon,25-Dec-22,5181,3,5,6,906,238.2389,3,13476,3.81
m5BAuRwtTNg,Sunday Morning Worship Service - 7/11/21 - Dr. Ellen Davis,11-Jul-21,5111,3,17,14,1480,426.5545,2,15602,4.78
mFai9lA9RrA,Interview with James Forbes on Sermon 'Let's Forgive Our Fathers',2-Dec-20,844,3,16,5,532,44.5498,2,8831,1.39
mGaYcy0wA74,Baccalaureate Service - 5/6/22 - Surnames A–G,6-May-22,4541,3,34,18,1288,145.872,4,13167,3.92
mL8WKS4brcs,Sunday Morning Worship Service - 5/30/21 - Rev. Megan Pardue,30-May-21,3855,3,20,11,1370,208.1166,2,13733,3.97
mz-7Q6cgx9o,Worship Service - 12/14/14 - Luke Powery,14-Dec-14,6012,3,1,3,1095,193.4036,0,1974,1.32
nH9ByHcEhdA,"North Carolina Boys Choir, Chamber Choir, and Girls Choir In Concert",4-Jun-13,8102,3,12,19,3749,258.096,2,6906,3.08
ncUG8zAUqr8,Choral Evensong Worship Service - 8/26/18,26-Aug-18,3665,3,39,9,1192,202.1097,2,10268,3.93
oTLRlOC-tQs,Sunday Morning Worship Service - 4/18/21 - Rev. Dr. Luke A. Powery,18-Apr-21,4816,3,11,15,1668,423.6794,4,19814,5.27
o_R4q6x4Te8,Endless Radiance by Chris Williams,23-Feb-23,238,3,9,11,585,16.2405,1,8111,3.39
pEJvveMeEMQ,"Sounds of Faith: The World Awaiting the Savior from Symphonie-Passion, Op. 23 by Marcel Dupré",8-Jul-20,504,3,10,15,792,26.7934,0,13376,2.65
pEaZ98D20Cw,Choral Vespers - 9/2/10,8-Sep-10,2255,3,0,1,513,3.5404,0,723,0.97
pPfOHuxGr7c,Sunday Morning Worship Service - 10/8/23 - Bishop William Willimon,9-Oct-23,4951,3,20,16,1133,397.6587,8,12466,5.48
pdi6uiDwl2o,Sunday Morning Worship Service - 11/5/23 - Dean Luke Powery,6-Nov-23,4682,3,31,30,1687,443.956,4,17131,5.25
ppdsN1SiA9I,Jazz Vespers Worship Service - 3/24/22,25-Mar-22,4634,3,20,21,826,127.147,9,19918,1.89
q8vuxHdL5zI,Sunday Morning Worship Service - 6/4/23 - Rev. Dr. M. Keith Daniel,5-Jun-23,5371,3,2,9,977,277.4865,0,12556,3.95
qAhbr4unNBk,Sunday Morning Worship Service - 12/18/22 - Rev. Bruce Puckett,18-Dec-22,4916,3,17,15,1079,326.712,2,12964,4.17
r-7Q1Ahmvp8,Sounds of Faith: I was glad by Leo Sowerby,15-Apr-20,434,3,23,20,1077,42.351,2,13455,3.58
r-xHudozUHA,Sunday Service and Installation of Dean Powery - 10/7/12,7-Oct-12,6500,3,9,7,5432,566.0951,0,6471,7.22
ra_-vYjUWeM,Duke Chapel Live - 7.15.2012,15-Jul-12,6611,3,1,5,1081,57.367,2,0,
rb817Zt2c5Y,Holy Week Noon Service - 4/13/22,13-Apr-22,3091,3,43,17,499,62.6218,1,6881,2.7
s8byELQahCQ,Sunday Morning Worship Service - 9/1/24 - Dean Luke A. Powery,2-Sep-24,5646,3,6,17,1165,385.9489,2,10060,5.95
sD4mk3Rr29k,Sunday Morning Worship Service - 1/21/24 - Dean Luke Powery,22-Jan-24,4368,3,47,29,1676,495.7527,5,18177,4.82
sEDtVuXbPwU,Good Friday Worship Service - 4/19/19,19-Apr-19,4952,3,17,14,2197,337.9058,4,30839,2.76
sY4eiqdh6kU,Sunday Sermon - I Want to Know Christ - Sam Wells,17-Oct-08,1320,3,57,39,4638,570.0039,8,33813,4.19
t7jddR77hHc,Sunday Morning Worship Service - 4/17/22 - Rev. Dr. Luke A. Powery,17-Apr-22,5295,3,51,40,3305,963.5063,11,29484,7.06
t8gQ8UBEX1U,Sunday Morning Worship Service - 1/14/24 - Rev. Dr. Maurice Wallace,15-Jan-24,4033,3,24,20,1289,346.6096,2,14255,5.22
tH58KRRAnWE,Duke Chapel Live -  11/4/2012,4-Nov-12,6315,3,0,0,262,87.8545,0,0,
tKRx-07139I,Employee Memorial Service  - 11/16/22,16-Nov-22,3566,3,1,7,410,21.1425,0,7725,2.54
tMdAg4s0L_g,Sunday Morning Worship Service - 5/26/19 - Rev. Dr. Michael Brown,26-May-19,4606,3,18,7,1230,269.9314,2,16026,3.23
tRD5LqMV-FU,The Marriage of Julia Bellantoni and Grant Petersen,,5971,3,2,4,222,63.5506,2,5,40
t_NQ8NxWWRc,Choral Evensong Worship Service - 10/14/18,14-Oct-18,3177,3,6,7,719,91.8322,1,9475,3.43
uIuSB7PtSac,The Spirit of the Lord—excerpt,23-May-23,44,3,6,41,1122,9.7716,3,19099,1.39
Showing top 500 results,,,,,,,,,,,